#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 02 07 21 50  26  3.2  5.9 99.00 99.00 99.00 999 1016.0  12.5  12.2  11.8 99.0 99.00
2013 02 07 22 50   7  5.7  8.2 99.00 99.00 99.00 999 1014.7  13.1  12.5  12.7 99.0 99.00
2013 02 08 00 50   4  0.5  2.2 99.00 99.00 99.00 999 1013.3  16.7  14.5  16.0 99.0 99.00
2013 02 08 01 50 118  6.0  9.2 99.00 99.00 99.00 999 1011.8  18.1  15.6  17.1 99.0 99.00
2013 02 08 02 50   5  0.9  3.0 99.00 99.00 99.00 999 1012.1  16.6  16.0  16.3 99.0 99.00
2013 02 08 03 50  93  0.8  2.0 99.00 99.00 99.00 999 1010.6  17.6  16.5  17.1 99.0 99.00
2013 02 08 04 50 113  2.6  4.4 99.00 99.00 99.00 999 1009.0  17.4  16.3  16.9 99.0 99.00
2013 02 08 05 50 329  0.6  1.9 99.00 99.00 99.00 999 1006.6  17.6  16.6  17.2 99.0 99.00
2013 02 08 06 50 116  8.1 11.0 99.00 99.00 99.00 999 1004.6  17.2  16.4  16.9 99.0 99.00
2013 02 08 07 50 322  2.4  6.3 99.00 99.00 99.00 999 1003.1  16.6  16.3  16.4 99.0 99.00
2013 02 08 08 50  98  1.6  3.2 99.00 99.00 99.00 999 1000.1  16.1  16.2  15.7 99.0 99.00
2013 02 08 09 50 178  4.3  6.9 99.00 99.00 99.00 999  998.6  16.2  15.8  15.7 99.0 99.00
2013 02 08 11 50 311  3.5  7.3 99.00 99.00 99.00 999 1000.3  11.2  14.6  10.0 99.0 99.00
2013 02 08 12 50 269 10.9 16.7 99.00 99.00 99.00 999 1002.2   9.2  12.7   8.2 99.0 99.00
2013 02 08 13 50  14  3.3  6.3 99.00 99.00 99.00 999 1004.2   8.9  11.2   7.1 99.0 99.00
2013 02 08 14 50 264  1.7  3.4 99.00 99.00 99.00 999 1005.3  10.2  10.9   7.6 99.0 99.00
2013 02 08 15 50 313  0.2  0.8 99.00 99.00 99.00 999 1006.9  14.1  12.5   7.4 99.0 99.00
2013 02 08 16 50 330  0.4  1.6 99.00 99.00 99.00 999 1007.6  16.1  15.4   7.7 99.0 99.00
2013 02 08 17 50 348  0.7  2.8 99.00 99.00 99.00 999 1008.2  13.0  16.2   7.6 99.0 99.00
2013 02 08 18 50 332  0.4  1.7 99.00 99.00 99.00 999 1008.2  12.4  15.3   6.9 99.0 99.00
2013 02 08 19 50 356  0.4  1.9 99.00 99.00 99.00 999 1009.1  12.3  15.0   5.7 99.0 99.00
2013 02 08 21 50 311  0.4  2.3 99.00 99.00 99.00 999 1009.5  12.8  17.5   5.6 99.0 99.00
2013 02 08 22 50  14  0.5  2.2 99.00 99.00 99.00 999 1010.5  11.7  15.8   6.9 99.0 99.00
2013 02 08 23 50 351  0.2  1.3 99.00 99.00 99.00 999 1011.3  11.2  14.3   7.1 99.0 99.00
2013 02 09 01 50 313  0.2  2.4 99.00 99.00 99.00 999 1012.5  11.1  12.8   8.3 99.0 99.00
2013 02 09 02 50   4  0.2  1.2 99.00 99.00 99.00 999 1012.9  11.1  12.4   8.1 99.0 99.00
2013 02 09 03 50 340  0.2  1.7 99.00 99.00 99.00 999 1013.6  11.4  12.2   6.8 99.0 99.00
2013 02 09 04 50 167  0.1  0.5 99.00 99.00 99.00 999 1014.7  10.1  11.6   5.8 99.0 99.00
2013 02 09 05 50 329  0.2  1.6 99.00 99.00 99.00 999 1015.5   8.5  10.9   0.5 99.0 99.00
2013 02 09 06 50 167  0.1  0.7 99.00 99.00 99.00 999 1015.9   7.6  10.0   0.0 99.0 99.00
2013 02 09 07 50 355  0.2  1.0 99.00 99.00 99.00 999 1016.4   6.7   9.2   0.0 99.0 99.00
2013 02 09 08 50 350  0.1  1.3 99.00 99.00 99.00 999 1016.9   6.1   8.5  -0.4 99.0 99.00
2013 02 09 09 50 167  0.0  1.1 99.00 99.00 99.00 999 1017.5   5.4   7.9  -0.6 99.0 99.00
2013 02 09 10 50 167  0.0  0.3 99.00 99.00 99.00 999 1018.9   5.2   7.3  -1.0 99.0 99.00
2013 02 09 11 50 167  0.1  0.7 99.00 99.00 99.00 999 1020.0   4.9   6.7  -2.0 99.0 99.00
2013 02 09 12 50 167  0.0  0.3 99.00 99.00 99.00 999 1021.6   5.1   6.4  -2.5 99.0 99.00
